epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.913,1.46359,2.44344,1.47309,0.64757,0.41895,0.51115,0.2699,1.3702,2.88008,1.44526,0.000656085,0.000656085,0.000656085
2,638.548,1.49712,2.0417,1.48,0.40368,0.39474,0.35121,0.15119,1.82976,2.91019,1.90793,0.00129656,0.00129656,0.00129656
3,935.212,1.55159,1.89808,1.53558,0.28225,0.31263,0.17776,0.05595,2.01192,6.17731,2.43844,0.00191064,0.00191064,0.00191064
4,1230.78,1.5335,1.7637,1.53428,0.38786,0.40211,0.3359,0.14455,1.73425,3.39681,1.84248,0.0018812,0.0018812,0.0018812
5,1598.68,1.52931,1.64577,1.52475,0.18919,0.24316,0.10946,0.04113,2.07443,2.95155,2.05222,0.0018416,0.0018416,0.0018416
6,1995.83,1.496,1.56363,1.51351,0.52583,0.56731,0.53787,0.28624,1.53295,2.18898,1.57841,0.001802,0.001802,0.001802
7,2318.33,1.44099,1.52146,1.45839,0.60462,0.56105,0.57752,0.28241,1.7209,1.84736,1.77275,0.0017624,0.0017624,0.0017624
8,2643.32,1.41076,1.3917,1.44747,0.67203,0.64211,0.69929,0.39303,1.34947,1.62815,1.46378,0.0017228,0.0017228,0.0017228
9,2966.19,1.35966,1.34429,1.39747,0.67754,0.5839,0.64995,0.39654,1.28369,1.96466,1.41494,0.0016832,0.0016832,0.0016832
10,3283.53,1.38358,1.36743,1.43202,0.72384,0.72526,0.78937,0.50281,1.21706,1.37472,1.31031,0.0016436,0.0016436,0.0016436
11,3606.45,1.31721,1.23775,1.36762,0.78256,0.70842,0.78934,0.47486,1.33076,1.28369,1.39812,0.001604,0.001604,0.001604
12,3928.36,1.29986,1.21106,1.35235,0.74686,0.7143,0.77147,0.48311,1.21599,1.32552,1.34406,0.0015644,0.0015644,0.0015644
13,4248.19,1.2908,1.18557,1.35608,0.75221,0.73158,0.78863,0.49706,1.2005,1.27852,1.28828,0.0015248,0.0015248,0.0015248
14,4567.71,1.26552,1.18709,1.32586,0.71898,0.74526,0.79764,0.50386,1.19511,1.32454,1.31324,0.0014852,0.0014852,0.0014852
15,4888.62,1.24158,1.13703,1.33481,0.76005,0.73053,0.80014,0.51855,1.15814,1.13717,1.2948,0.0014456,0.0014456,0.0014456
16,5209.88,1.23595,1.13059,1.3078,0.64417,0.72842,0.6943,0.46438,1.17895,1.33382,1.30316,0.001406,0.001406,0.001406
17,5533.64,1.22848,1.0892,1.31313,0.81329,0.70421,0.80186,0.51055,1.27061,1.20024,1.37915,0.0013664,0.0013664,0.0013664
18,5857.63,1.25547,1.12876,1.33645,0.72785,0.73158,0.75983,0.48913,1.17737,1.24512,1.3221,0.0013268,0.0013268,0.0013268
19,6183.09,1.21447,1.05592,1.30392,0.85209,0.77579,0.85574,0.55732,1.13356,1.01766,1.28288,0.0012872,0.0012872,0.0012872
20,6508.42,1.19806,1.06871,1.30408,0.83939,0.7427,0.82187,0.51108,1.24292,1.08195,1.38286,0.0012476,0.0012476,0.0012476
21,6834.99,1.19165,1.06618,1.28891,0.84499,0.76889,0.8485,0.57476,1.10409,1.01076,1.2479,0.001208,0.001208,0.001208
22,7164.37,1.1599,1.00242,1.25663,0.85597,0.76319,0.86045,0.57938,1.09788,0.9759,1.25805,0.0011684,0.0011684,0.0011684
23,7490.21,1.16596,1.02759,1.28307,0.8498,0.74632,0.85061,0.57337,1.10811,0.95997,1.24846,0.0011288,0.0011288,0.0011288
24,7815.05,1.13688,0.99753,1.24328,0.85255,0.77579,0.86125,0.58432,1.05711,1.00862,1.23812,0.0010892,0.0010892,0.0010892
25,8121.85,1.14854,1.00033,1.27589,0.829,0.78077,0.84319,0.53976,1.18971,1.04479,1.30346,0.0010496,0.0010496,0.0010496
26,8405.58,1.13414,0.98336,1.25318,0.85337,0.77053,0.85195,0.58903,1.05738,0.99075,1.23141,0.00101,0.00101,0.00101
27,8688.51,1.14459,0.97714,1.25972,0.82105,0.77368,0.84466,0.57773,1.06356,1.01092,1.22586,0.0009704,0.0009704,0.0009704
28,8969.42,1.08093,0.91078,1.21082,0.825,0.77053,0.8585,0.58876,1.06856,0.96938,1.21802,0.0009308,0.0009308,0.0009308
29,9249.3,1.09303,0.90876,1.2245,0.87308,0.80377,0.87852,0.61674,1.02155,0.89382,1.17961,0.0008912,0.0008912,0.0008912
30,9528.22,1.0837,0.91062,1.21526,0.89395,0.75424,0.84998,0.58655,1.04282,1.00591,1.20082,0.0008516,0.0008516,0.0008516
31,9807.61,1.07303,0.89061,1.22938,0.86307,0.80421,0.88344,0.61214,1.0478,0.87971,1.20762,0.000812,0.000812,0.000812
32,10089.6,1.03923,0.85259,1.19369,0.86206,0.78283,0.87276,0.59675,1.06234,0.92084,1.21809,0.0007724,0.0007724,0.0007724
33,10369.6,1.05191,0.85833,1.2045,0.86061,0.77342,0.84932,0.58669,1.03474,0.96771,1.21887,0.0007328,0.0007328,0.0007328
34,10647.7,1.03287,0.85079,1.18995,0.8459,0.77431,0.85932,0.60433,1.01813,0.99957,1.18973,0.0006932,0.0006932,0.0006932
35,10925.8,0.98536,0.81293,1.16213,0.85922,0.77097,0.87468,0.61271,1.04261,0.88037,1.22221,0.0006536,0.0006536,0.0006536
36,11198.7,1.03093,0.83484,1.19431,0.84266,0.81747,0.8717,0.60397,1.0245,0.89647,1.19673,0.000614,0.000614,0.000614
37,11470.6,1.02781,0.81806,1.17572,0.86206,0.80105,0.88351,0.61851,1.00992,0.87127,1.1886,0.0005744,0.0005744,0.0005744
38,11741.4,0.98873,0.78708,1.17171,0.84337,0.77158,0.87392,0.61676,1.00812,0.90137,1.19579,0.0005348,0.0005348,0.0005348
39,12018.1,0.99601,0.8007,1.17592,0.89319,0.80211,0.88571,0.63944,0.98014,0.83608,1.16382,0.0004952,0.0004952,0.0004952
40,12289.2,1.00108,0.78996,1.16194,0.84621,0.81895,0.88436,0.64057,0.95666,0.828,1.15082,0.0004556,0.0004556,0.0004556
41,12559.8,0.89794,0.67291,1.11511,0.86435,0.79895,0.87739,0.62204,0.99164,0.85921,1.18357,0.000416,0.000416,0.000416
42,12828,0.90098,0.67858,1.10958,0.87295,0.77388,0.86933,0.62282,1.00035,0.88489,1.1899,0.0003764,0.0003764,0.0003764
43,13112.1,0.88171,0.63804,1.09919,0.88464,0.79105,0.87539,0.63484,0.95261,0.87754,1.15578,0.0003368,0.0003368,0.0003368
